Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Facebook,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Similar Companies,Trend Score (90 Days),Patents Granted,Most Popular Patent Class,Trademarks Registered,Most Popular Trademark Class,Diversity Spotlight
Multiply Labs,https://www.crunchbase.com/organization/multiply-labs,,"Industrial Automation, Manufacturing, Personal Health, Pharmaceutical, Robotics","San Francisco, California, United States",Multiply Labs deploys advanced robotics technology to manufacture personalized pharmaceutical capsules.,"8,610","San Francisco Bay Area, West Coast, Western US",94124,$10M to $50M,Active,2016-01-01,year,,,,,For Profit,https://www.multiplylabs.com/,https://www.linkedin.com/company/multiply-labs,https://www.facebook.com/multiplylabsforyou/,info@multiplylabs.com,,Multiply Labs manufactures personalized pharmaceutical capsules that are tailor-made to the unique needs of each patient. Multiply Labs’ product is enabled by the combination of pharmaceutical science with robotics technology. The company has built and operates a unique robotic pharmaceutical manufacturing facility. Multiply Labs is the first company ever to bring to the market 3D printed capsules.,,,,,,,,,,,,"Hardware, Health Care, Manufacturing, Science and Engineering, Software",4.0,"Alice Melocchi, Fred Parietti, Joe Wilson, Tiffany Kuo",11-50,5.0,Early Stage Venture,2021-04-14,20000000.0,USD,20000000.0,Series A,20000000.0,USD,20000000.0,Series A,22700000.0,USD,22700000.0,22700000.0,USD,22700000.0,"Y Combinator, Founders Fund, Lux Capital, Fifty Years, P101",3.0,17.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.0,0.8,10.0,Medical Or Veterinary Science; Hygiene,1.0,Machines and machine tools,
Aster,https://www.crunchbase.com/organization/aster-f110,,"Health Care, Medical","San Francisco, California, United States",Building the first true healthcare AI that deeply understands women's health,"11,804","San Francisco Bay Area, West Coast, Western US",,,Active,2023-06-01,month,,,,,For Profit,https://astercare.com/,,,hello@astercare.com,,,,,,,,,,,,,,Health Care,1.0,Fifi Kara,1-10,1.0,Seed,2024-01-30,2400000.0,USD,2400000.0,Pre-Seed,2400000.0,USD,2400000.0,Pre-Seed,2400000.0,USD,2400000.0,2400000.0,USD,2400000.0,"Octopus Ventures, Everywhere Ventures, Zeal Capital Partners, Cake Ventures, Cornerstone VC",2.0,6.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.0,-0.2,,,,,
Rise,https://www.crunchbase.com/organization/rise-e41d,,"Blockchain, Bookkeeping and Payroll, Compliance, Human Resources, Web3","Beachwood, Ohio, United States","Rise provides crypto payroll and web3 workforce solutions to help businesses onboard, manage, and pay local and global contractors.","14,473","Great Lakes, Midwestern US",44124,$1M to $10M,Active,2019-09-09,day,,,,,For Profit,https://www.riseworks.io,https://www.linkedin.com/company/riseworks,https://www.facebook.com/risefreelance,hello@riseworks.io,,"Rise is an innovative payroll and compliance provider. It is a Web3-enabled platform that helps businesses onboard, manage, and pay local and international contractors while ensuring full compliance and alleviating burdensome tax processes. Rise provides an all-in-one compliance and payment platform for companies with global workforces, streamlining onboarding, payments, and compliance tasks. It allows businesses to hire, onboard, and pay international contractors compliantly.",,,,,,,,,,,,"Administrative Services, Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Professional Services",2.0,"Andrew Maurer, Hugo Finkelstein",11-50,2.0,Early Stage Venture,2024-11-21,6300000.0,USD,6300000.0,Series A,6300000.0,USD,6300000.0,Series A,10100000.0,USD,10100000.0,10100000.0,USD,10100000.0,"Draper Associates, HashKey Capital, Digital Currency Group, P2P Validator, Ryze Labs",3.0,18.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.0,-0.2,,,,,
Hook,https://www.crunchbase.com/organization/hook-d1c9,,"B2B, SaaS, Software","London, England, United Kingdom",Hook is the predictive growth platform for Customer Success,"15,884","Europe, Middle East, and Africa (EMEA)",EC2M 1QP,$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://hook.co/,https://www.linkedin.com/company/hook-technology,,contact@hook.co,,"Hook automatically ingests your product and revenue data to identify the highest potential customers. This data is used to proactively suggest actions for CSMs to drive positive engagement at scale – and then measure what works. Less guesswork, more time spent with the customers that matter.",,,,,,,,,,,,"Other, Software",1.0,Firaas Rashid,11-50,1.0,Seed,2021-06-01,2000000.0,GBP,2831197.0,Pre-Seed,2000000.0,GBP,2831197.0,Pre-Seed,2000000.0,GBP,2831197.0,2000000.0,GBP,2831197.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5.0,-2.4,0.0,,2.0,Scientific and electric apparatus and instruments,
LEAF,https://www.crunchbase.com/organization/corsica-innovations-inc,,"Cannabis, Consumer Electronics, Electronics, Hardware, Home Appliances, Service Industry","Boulder, Colorado, United States","LEAF is a smart home appliance that lets users grow their own cannabis, food, and herbs.","18,242","Greater Denver Area, Western US",80302,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://www.getleaf.co,https://www.linkedin.com/company/leaf---the-smart-grow-system,https://www.facebook.com/leafgrow,support@getleaf.co,(877) 796-7371,"LEAF is a smart home appliance that lets users grow their own medicinal plants, food, and herbs from the comfort and convenience of their own homes. Designed to automate the time-consuming and tedious process of growing high-quality plants, LEAF controls the grow environment, nutrients, lighting, pH, and connects to your smartphone to let you control all aspects of the home growing process remotely.",,,,,,,,,,,,"Community and Lifestyle, Consumer Electronics, Consumer Goods, Food and Beverage, Hardware, Health Care, Other",3.0,"Eran Mordechay, Jonathan Ofir, Moira Breslin",11-50,6.0,,2021-07-01,5729000.0,USD,5729000.0,Convertible Note,2504795.0,USD,2504795.0,Venture - Series Unknown,4524795.0,USD,4524795.0,13628502.0,USD,13628502.0,"SeedInvest, Merida Capital Holdings, CanopyBoulder, Phyto Partners, Sunmeet Jolly",1.0,10.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,94.0,-0.6,1.0,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,0.0,,
Voices,https://www.crunchbase.com/organization/voices,,"Advertising, Artificial Intelligence (AI), Audiobooks, Broadcasting, Digital Media, Machine Learning, Marketplace, Speech Recognition, Video","London, Ontario, Canada","Voices is a voice marketplace allowing businesses to find, hire, and pay voice actors. It is founded by David and Stephanie Ciccarelli.","18,566",Great Lakes,N6A 5B6,Less than $1M,Active,2005-10-30,day,,,,,For Profit,https://www.voices.com,https://www.linkedin.com/company/voices-com,https://www.facebook.com/voices,support@voices.com,+118883593472,"Worldwide Reach of Voices.com: The company has over 4 million members from around the globe speaking over 100 languages and dialects, with more than 100 employees dedicated to making the process seamless and turn-key for business clients. Talent can join for free by creating a profile and uploading samples of their work, while Premium membership unlocks access to respond to jobs that match their skills. The platform also offers work in audio ads, video ads, explainer videos and other types of audio content and provides competitive quotes from professional voice talent. Voices.com Serves Over 160 Countries: Headquartered in London, Canada, Voices.com matches clients with voice actors in over 160 countries. Easy to access Platform: Buyers needing voice over services have a number of ways to use the Voices.com platform to find talent. They can post a specific job description to request specific proposals. If the buyer already knows what type of talent they want, they can sort talent by keyword, gender, experience, or location.  Or, employers can browse by category and filter results to find the right voice for their job. Voices.com also offers voice talent a variety of tools to start, grow and thrive in the field of voice overs.  From resources such as blogs, podcasts, videos and webinars as well as career development tools like the Achievements program and the annual Voicey Awards, both aspiring and professional voice talent have everything they need to be successful. Secure Compensation to the Employees: In order to help facilitate payment between the employers and the talent, Voices.com has developed a patented payment service called SurePay.",,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Media and Entertainment, Music and Audio, Sales and Marketing, Science and Engineering, Software, Video",2.0,"David Ciccarelli, Stephanie Ciccarelli",101-250,4.0,Private Equity,2017-07-11,18000000.0,USD,18000000.0,Private Equity,18000000.0,USD,18000000.0,Private Equity,20000000.0,USD,20000000.0,21293956.0,USD,21293956.0,"Morgan Stanley Expansion Capital, BDC Capital Corporation",2.0,2.0,2.0,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,9.0,-1.8,3.0,Computing; Calculating,0.0,,
Daki,https://www.crunchbase.com/organization/daki,,"Delivery, Food and Beverage, Mobile Apps","São Paulo, Sao Paulo, Brazil",Daki is a mobile application that delivers purchases in seconds.,"19,564",Latin America,,,Active,2020-01-01,year,,,,,For Profit,https://www.soudaki.com/,https://www.linkedin.com/company/daki-delivery-em-15-minutos/,,,,Daki is a mobile application that delivers purchases in seconds.,,,,,,,,,,,,"Administrative Services, Apps, Food and Beverage, Mobile, Software",2.0,"Alexandre Bretzner, Rafael Vasto",501-1000,4.0,,2024-01-24,25000000.0,BRL,5066883.0,Venture - Series Unknown,25000000.0,BRL,5066883.0,Venture - Series Unknown,105066883.0,USD,105066883.0,105066883.0,USD,105066883.0,"Greycroft, G Squared, Google for Startups, Balderton Capital, Tiger Global Management",3.0,10.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8.0,2.5,,,,,
Echo,https://www.crunchbase.com/organization/echo-laboratories,,"Biopharma, Biotechnology, Life Science, Medical Device","San Diego, California, United States",Echo is a provider of an automated microscope intended for biological research and pathologies.,"24,365","Greater San Diego Area, West Coast, Western US",92110,$1M to $10M,Active,2013-01-01,year,2021-06-26,day,,,For Profit,http://discover-echo.com/,https://www.linkedin.com/company/echo-laboratories,https://www.facebook.com/discoverecho/,info@echo-labs.com,(858)429-9565,"Echo is a provider of am automated microscope intended for biological research and pathologies. The company's product provides features like inverted images, cell counting, phase contrast, brightfield and fluorescence, enabling customers to have accurate images at a lower cost.",,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",1.0,Eugene Cho,11-50,6.0,M&A,2020-03-17,,,,Series A,,,,Series A,10500000.0,USD,10500000.0,14342682.0,USD,14342682.0,"NuFund Venture Group, Tech Coast Angels, Dolby Family Ventures, Bioverge",3.0,4.0,,Was Acquired,Echo acquired by Cellink,https://www.crunchbase.com/acquisition/cellink-2-acquires-echo-laboratories--442da8bd,Cellink,https://www.crunchbase.com/organization/cellink-2,2021-06-26,day,110000000.0,USD,110000000.0,Acquisition,,Private,,,,,,,,,,,,,22.0,6.8,7.0,Optics,1.0,Scientific and electric apparatus and instruments,
Gemma,https://www.crunchbase.com/organization/beautai,,"Beauty, Hardware, Machine Learning, Robotics, Software","Dallas, Texas, United States",Gemma is a Consumer Electronics Manufacturing firm making automatic makeup applicating machine.,"24,370","Dallas/Fort Worth Metroplex, Southern US",,,Active,2022-01-01,day,,,,,For Profit,https://www.gemmarobotics.com,https://www.linkedin.com/company/beautai,,team@gemmarobotics.com,2147337055,"We believe that in order for women to look and feel their best, they need access to an easier makeup experience. BeautAI is building the world’s first automatic makeup application machine to help busy women achieve any makeup look in under two minutes by automated airbrush mechanics and proprietary, real-time color mixing.",,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software",2.0,"Elizabeth Whitelaw, Mira Shalah",11-50,3.0,Seed,2024-10-03,,,,Seed,,,,Seed,1100000.0,USD,1100000.0,1180335.0,USD,1180335.0,"SOSV, Israel Innovation Authority, HAX",1.0,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.0,3.2,,,,,
Leaf Space,https://www.crunchbase.com/organization/leafspace,,"Aerospace, Satellite Communication, Space Travel","Milan, Lombardia, Italy",Leaf Space wants to simplify the access to Space for microsatellites’ operators.,"25,265","European Union (EU), Europe, Middle East, and Africa (EMEA)",20129,Less than $1M,Active,2014-01-01,year,,,,,For Profit,https://leaf.space,https://www.linkedin.com/company/leaf-space,https://www.facebook.com/pages/Leaf-Space/1472992286321268?fref=ts,info@leafspace.eu,+393291563776,"Leaf Space aims to become a global leading service provider in the new, emerging microsatellite market by developing a technology platform providing all basic services required by microsatellite operators.",,,,,,,,,,,,"Hardware, Science and Engineering, Transportation",4.0,"Giovanni Pandolfi, Jonata Puglia, Matteo Boiocchi, Michele Messina",1-10,7.0,Early Stage Venture,2023-07-25,20000000.0,EUR,22100180.0,Series B,20000000.0,EUR,22100180.0,Series B,26000000.0,EUR,29158189.0,42362063.0,EUR,47315573.0,"European Investment Bank, CDP Venture Capital, Primo Capital, Neva SGR, SIMEST",6.0,11.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,36.0,-0.1,1.0,Electric Communication Technique,0.0,,
