Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Lead Investments,Number of Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,Delisted Date,Delisted Date Precision,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
Nova Credit,https://www.crunchbase.com/organization/nova-credit,,"Credit, Credit Bureau, Data Integration, Financial Services, FinTech","San Francisco, California, United States",Nova Credit is a credit infrastructure and analytics company that enables businesses to grow responsibly through alternative credit data.,"4,114","San Francisco Bay Area, West Coast, Western US",10010,$1M to $10M,Active,2016-05-17,day,,,,,For Profit,http://novacredit.com,https://www.facebook.com/novacredit,https://www.linkedin.com/company/nova-credit-inc.,info@novacredit.com,(844)423-1345,"Nova Credit is a credit infrastructure and analytics company that enables businesses to grow responsibly through alternative credit data. As a Consumer Reporting Agency (CRA), Nova Credit leverages its unique data infrastructure, compliance framework, and credit expertise to help lenders fill critical gaps in traditional credit analytics. The company transforms the fragmented universe of consumer financial data into compliant, actionable risk insights through a comprehensive platform designed to increase conversion through expanded coverage, speed, and reliability. Leading organizations, including HSBC, RBC, SoFi, Scotiabank, Appfolio, and Yardi, work with Nova Credit to make smarter credit decisions through cash flow underwriting with Cash Atlas™, quickly verify income with Income Navigator, and reach new-to-country consumers with Credit Passport®.  Nova Credit is backed by investors including Canapi Ventures, Kleiner Perkins, General Catalyst, and Index Ventures, and executives from Goldman Sachs, JP Morgan, and Citi. Learn more at https://www.novacredit.com or reach out to connect@novacredit.com",,,,,,,,,,,,"Data and Analytics, Financial Services, Information Technology, Lending and Investments, Software",3,"Loek Janssen, Misha Esipov, Nicky Goulimis",51-100,8,Late Stage Venture,2023-10-17,45000000,USD,45000000,Series C,45000000,USD,45000000,Series C,124420000,USD,124420000,124420000,USD,124420000,"General Catalyst, Y Combinator, Index Ventures, Canapi Ventures, First Round Capital",7,33,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-2.1,7,0,3,,Insurance; financial affairs
Otter,https://www.crunchbase.com/organization/otter-ce40,,"Child Care, Children, Family, Wellness","San Francisco, California, United States",Otter connects parents in need of childcare with caregivers in the community.,"4,390","San Francisco Bay Area, West Coast, Western US",94114,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://withotter.com,https://www.facebook.com/withotter,https://www.linkedin.com/company/withotter,hello@withotter.com,,"Otter is a community builder who is passionate about helping families thrive on their own terms.  The company's platform helps to meet with nearby stay-at-home parents who offer a parenting approach and can take care of kids, enabling parents to manage their scheduling, payment, and pick-up and drop-off logistics. It also connects parents who need childcare with a stay at home parents who can care for their kids. Otter was founded in 2020 and is headquartered in San Francisco, California.",,,,,,,,,,,,"Community and Lifestyle, Health Care",1,Helen Mayer,11-50,3,Early Stage Venture,2021-07-08,23000000,USD,23000000,Series A,23000000,USD,23000000,Series A,30799991,USD,30799991,30799991,USD,30799991,"Andreessen Horowitz, Sequoia Capital, Thrive Capital, Abstract",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.6,9,,,,
Hearth,https://www.crunchbase.com/organization/hearth-display,,"Consumer Electronics, Hardware, Project Management, Software","New York, New York, United States","Hearth is a new tool for family management and productivity, made to lighten the load of organization for busy families.","5,305","Greater New York Area, East Coast, Northeastern US",,$1M to $10M,Active,2020-10-01,month,,,,,For Profit,https://hearthdisplay.com,https://www.facebook.com/hearthdisplay,https://www.linkedin.com/company/hearth-display,hello@hearthdisplay.com,,"Hearth is a new company building modern technology to make the pain points of family management easier and more equitable, so that households of all kinds can make the most of their time together.  Hearth is redesigning household dynamics through magically easy digital products that reward shared effort and shared responsibility. The company’s core product, Hearth Display, is a centralized digital touchscreen that replaces all the analog tools a family uses to manage their lives (like a whiteboard).",,,,,,,,,,,,"Administrative Services, Consumer Electronics, Hardware, Other, Software",3,"Mei Lin Ng, Nathalie Stratton, Susie Harrison",11-50,3,Seed,2024-11-08,,,,Seed,,,,Seed,7300000,USD,7300000,7300000,USD,7300000,"Alumni Ventures, Female Founders Fund, Precursor Ventures, Behind Genius, Sweater",1,8,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.8,8,0,0,,Advertising; business
Unify,https://www.crunchbase.com/organization/unify-c19f,,"Artificial Intelligence (AI), Software","San Francisco, California, United States",The world’s first warm outbound platform - book 25% more pipeline with half the effort.,"6,483","San Francisco Bay Area, West Coast, Western US",,,Active,2023-01-01,day,,,,,For Profit,https://www.unifygtm.com/?utm_source=crunchbase,,https://www.linkedin.com/company/unifygtm/,support@unifygtm.com,4158945886,Our vision is to reinvent how outbound sales works.,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,11-50,3,Early Stage Venture,2024-10-08,12000000,USD,12000000,Series A,12000000,USD,12000000,Series A,29909999,USD,29909999,29909999,USD,29909999,"Thrive Capital, Neo, Abstract, Emergence Capital, 20SALES",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,,,,,
Massive,https://www.crunchbase.com/organization/massive-a14f,,"Advertising, Internet","Austin, Texas, United States",Massive is an SDK that allows developers to offer premium content to users in exchange for a little bit of their unused processing power.,"7,231",Southern US,78741,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.joinmassive.com/,https://www.facebook.com/joinmassive/,https://www.linkedin.com/company/joinmassive/,support@joinmassive.com,,"Massive is an application monetization SDK that benefits developers and users. Instead of showing ads or charging a subscription, any Massive enabled service allows users to pay by silently utilizing their unused computing resources (CPU, GPU and bandwidth), enabling clients to earn revenue without the inconvenience to the user.",,,,,,,,,,,,"Advertising, Internet Services, Sales and Marketing",2,"Brian Kennish, Jason Grad",11-50,4,Seed,2021-11-30,11000000,USD,11000000,Seed,11000000,USD,11000000,Seed,11000000,USD,11000000,11000000,USD,11000000,"LAUNCH, Triton Capital, Coinbase Ventures, Point72 Ventures, BlockTower Capital",2,13,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.9,6,0,2,,Scientific and technological services
Themis,https://www.crunchbase.com/organization/themis-42d8,,"FinTech, Software","Atlanta, Georgia, United States","Themis is a collaborative governance, risk, and compliance platform.","9,773","Greater Atlanta Area, East Coast, Southern US",,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://www.askthemis.com/,,https://www.linkedin.com/company/askthemis/,,,"Themis is the first platform that allows banks, fintech, and cryptos to create a strong compliance environment instantly while enabling collaboration so industries can create standards together and push innovation forward. This technology will solve long-standing industry communication issues.",,,,,,,,,,,,"Financial Services, Software",1,Neepa Patel,11-50,2,Seed,2022-08-10,,,,Seed,,,,Seed,9000000,USD,9000000,9000000,USD,9000000,"Felicis, TTV Capital, Walkabout Ventures, The Fintech Fund, FIS Impact Ventures",2,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.8,7,,,,
Anthill,https://www.crunchbase.com/organization/anthill-ai,,"Human Resources, Software, Virtual Workforce","Chicago, Illinois, United States","Solutions for employees that don't sit at a desk. Enables open, ongoing communication through the most inclusive technology: text messaging.","12,408","Greater Chicago Area, Great Lakes, Midwestern US",,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://www.anthill.co,https://www.facebook.com/anthillai,https://www.linkedin.com/company/anthill-ai/,,,"Anthill is a software company that offers personal and actionable workforce communication and development. The company was founded by Muriel Clauson and Young-Jae Kim and is based in Chicago, Illinois.",,,,,,,,,,,,"Administrative Services, Software",2,"Muriel Clauson, Young-Jae Kim",11-50,4,Seed,2022-08-01,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,7360000,USD,7360000,7360000,USD,7360000,"Everywhere Ventures, Techstars, Origin Ventures, Jobs for the Future, BBG Ventures",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.4,2,0,5,,Scientific and electric apparatus and instruments
Instant Financial,https://www.crunchbase.com/organization/instant-financial,,"Banking, Financial Services, FinTech","Alpharetta, Georgia, United States",Instant Financial is leading the charge to provide financial wellness for employees through its fee-free earned wage access solutions.,"12,656","Greater Atlanta Area, East Coast, Southern US",30009,$1M to $10M,Active,2015-10-01,day,,,,,For Profit,http://www.instant.co,https://www.facebook.com/beinstant,https://www.linkedin.com/company/instant-financial/,marketing@instant.co,+1 855 976 4376,"Instant Financial is leading the charge to provide financial freedom and wellness to millions of workers in the United States through its fee-free earned wage access solutions. By enabling employers to allow employees to access their daily wages immediately after their shift, Instant Financial helps organizations improve retention and reduce absenteeism while helping employees take control of their financial freedom by bridging the gap between work day and payday. Learn more about Instant Financial at www.instant.co.",,,,,,,,,,,,"Financial Services, Lending and Investments",3,"Kevin Falk, Ryan Volberg, Steve Barha",11-50,6,,2023-07-07,12684250,USD,12684250,Venture - Series Unknown,12684250,USD,12684250,Venture - Series Unknown,28022061,USD,28022061,28022061,USD,28022061,"TTV Capital, Real Ventures, InComm, Tech Square Ventures, Kinetic Ventures",5,13,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.9,16,1,0,Computing; Calculating,
Zefi.ai,https://www.crunchbase.com/organization/zefi-ai,,"Artificial Intelligence (AI), Machine Learning, Product Management, Product Research, Productivity Tools, SaaS, Software, UX Design",,Transform users' voice into value,"12,736",,,,Active,2023-04-01,day,,,,,For Profit,https://zefi.ai,,https://www.linkedin.com/company/zefi-ai,aurora@zefi.ai,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Other, Science and Engineering, Software",5,"Alexandros Fokianos, Aurora Maggio, Daniele Borlizzi, Leonardo Vezzati, Nicola Sebastianelli",1-10,1,Seed,2024-05-28,1600000,EUR,1736207,Pre-Seed,1600000,EUR,1736207,Pre-Seed,1600000,EUR,1736207,1600000,EUR,1736207,"Vento, 360 Capital, Lakestar, 14Peaks Capital, Growth Engine",2,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5.5,14,,,,
Wave,https://www.crunchbase.com/organization/wave-financial,,"Accounting, Apps, Bookkeeping and Payroll, Cloud Computing, Financial Services, FinTech, Human Resources, Payments, Small and Medium Businesses, Software","Toronto, Ontario, Canada","Wave offers tailored financial services (payments, payroll) and award-winning free software for small/micro-businesses around the world.","13,636",Great Lakes,M5A 0W4,$10M to $50M,Active,2009-07-01,month,2019-06-11,day,,,For Profit,http://www.waveapps.com,http://www.facebook.com/waveHQ,https://www.linkedin.com/company/wave-hq,support@waveapps.com,+1 416-521-9141,"Wave makes running a small business better by providing free accounting, invoicing, affordable credit card processing (payments) and payroll. Over 3 million small business owners, in more than 200 countries around the world, rely on WaveApps to run their business. Wave was founded in 2009 and is headquartered in Toronto, Canada.",,,,,,,,,,,,"Administrative Services, Apps, Financial Services, Internet Services, Other, Payments, Professional Services, Software",2,"James Lochrie, Kirk Simpson",101-250,10,M&A,2017-05-30,24000000,USD,24000000,Series D,24000000,USD,24000000,Series D,79751426,USD,79751426,79751426,USD,79751426,"OMERS Ventures, HarbourVest Partners, CRV, Initialized Capital, OurCrowd",6,17,1,"Made Acquisitions, Was Acquired",Wave acquired by H&R Block,https://www.crunchbase.com/acquisition/h-r-block-acquires-wave-financial--0472b6bd,H&R Block,https://www.crunchbase.com/organization/h-r-block,2019-06-11,day,537000000,CAD,404343721,Acquisition,Cash,Private,,,,,,,,,,,,,-0.6,17,3,17,Computing; Calculating,Scientific and electric apparatus and instruments
Futura,https://www.crunchbase.com/organization/futura-8ee6,,"E-Learning, Education, Information Technology","Milano, Lombardia, Italy",Futura provides personalized learning using data driven approach and modular classes that adapt to student's Individual needs.,"13,757","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2020-01-01,year,,,,,For Profit,https://www.futura.study,https://www.facebook.com/futura.study,https://www.linkedin.com/company/futurastudy,info@wearefutura.com,,Futura provides personalized learning using data driven approach and modular classes that adapt to student's Individual needs.,,,,,,,,,,,,"Education, Information Technology, Software",3,"Andrea Salvatore Chirolli, Francesco Mario Salvatore, Lorenzo Pinto",11-50,2,Early Stage Venture,2024-05-07,14000000,EUR,15049928,Series A,14000000,EUR,15049928,Series A,15800000,EUR,16883101,15800000,EUR,16883101,"Eurazeo, Exor Ventures, United Ventures, Axon Partners Group, Ithaca Investments",2,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.8,10,106,19,Conveying; Packing; Storing; Handling Thin Or Filamentary Material,"Pharmaceutical, veterinary and sanitary products"
