Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
Rex,https://www.crunchbase.com/organization/rex-09c8,,"Artificial Intelligence (AI), Computer Vision, Mobile Apps, Productivity Tools, Software","New York, New York, United States","Rex offers a mobile app that allows users to find, track, and recommend places.","7,435","Greater New York Area, East Coast, Northeastern US",,,Active,2021-07-01,month,,,,,For Profit,https://getrex.app,,https://www.linkedin.com/company/getrexapp,hello@getrex.app,,"Rex offers a mobile app that allows users to find, track, and recommend places. Rex app seeks to start sharing recommendations by combining AI and computer vision technology.",,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Hardware, Mobile, Science and Engineering, Software",1,Aliza Rosen,1-10,1,Seed,2023-06-12,3960000,USD,3960000,Seed,3960000,USD,3960000,Seed,3960000,USD,3960000,3960000,USD,3960000,"Accel, Khosla Ventures, Future Positive",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6.4,8,,,,
volvero,https://www.crunchbase.com/organization/volvero,,"Apps, Blockchain, Mobile Apps, Sharing Economy, Smart Cities, Sustainability, Tourism, Transportation, Travel","Milan, Lombardia, Italy",Volvero is a vehicle sharing app which connect owners with drivers relying on the most innovative technologies,"7,551","European Union (EU), Europe, Middle East, and Africa (EMEA)",20155,$1M to $10M,Active,2018-05-14,day,,,,,For Profit,http://www.volvero.com,https://www.facebook.com/volvero/,https://www.linkedin.com/company/volvero,info@volvero.com,+393533201096,"Volvero is an app that provides access to a $200 billion market, enabling vehicles owners to earn by sharing them from one day on leveraging a secure DLT system and Big Data technologies for vehicles monitoring and users’ awareness.",,,,,,,,,,,,"Apps, Blockchain and Cryptocurrency, Mobile, Other, Real Estate, Software, Sustainability, Transportation, Travel and Tourism",2,"Marco Filippi, Olukayode Alao",11-50,6,Seed,2023-12-02,500000,EUR,544336,Grant,250000,EUR,258613,Seed,350000,EUR,375459,1000000,EUR,1086132,"Start-Up Chile, EIT Urban Mobility, Blockchers, Impact Hub, Climate-KIC",3,8,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2.8,13,2,0,Computing; Calculating,
Stardust,https://www.crunchbase.com/organization/stardust-e0bd,,"Artificial Intelligence (AI), Consumer Software, Health Care, iOS, Machine Learning, Mobile Apps, Software","New York, New York, United States","Stardust is a cycle tracker that integrates science, ancient wisdom, astronomy and AI","8,112","Greater New York Area, East Coast, Northeastern US",,Less than $1M,Active,2020-05-01,day,,,,,For Profit,https://stardust.app/,https://www.facebook.com/stardustperiodtracker/,https://www.linkedin.com/company/stardustapp/,,,"Stardust is a hormone health platform that teaches you how to work with the phases of your cycle. We integrate science, ancient wisdom, astronomy and artificial intelligence to help you understand the magic of your cycle, track your experiences, manifest goals, and befriend your body.  Whether you are trying to predict periods, get pregnant, understand your symptoms or just want to form a deeper connection to your body, Stardust has you covered.  Founded and led by women, we're committed to best-in-class privacy practices and will never sell or divulge your data.",,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Platforms, Science and Engineering, Software",1,Rachel Moranis,1-10,2,Seed,2023-12-01,3500000,USD,3500000,Seed,3500000,USD,3500000,Seed,5700000,USD,5700000,5700000,USD,5700000,"NFX, Precursor Ventures, Spacecadet Ventures, Betaworks, Homebrew",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1,5,0,2,,Scientific and electric apparatus and instruments
Avatr,https://www.crunchbase.com/organization/avatr,,"Automotive, Autonomous Vehicles, Electric Vehicle, Manufacturing","Chongqing, Heilongjiang, China",Avatr operates as an electric vehicle brand that focuses on developing user-centric mobility technologies.,"8,548",Asia-Pacific (APAC),,,Active,2018-01-01,year,,,,,For Profit,https://www.avatr.com,,https://www.linkedin.com/company/%E9%98%BF%E7%BB%B4%E5%A1%94%E7%A7%91%E6%8A%80,,,"Avatr operates as an electric vehicle brand that focuses on developing user-centric mobility technologies. Established in Chongqing, Avatr Technology Co., Ltd focuses on premium electric vehicles, highlighting its commitment to innovation and design excellence.",,,1,1,,1,,,,,,"Manufacturing, Transportation",,,1001-5000,3,Late Stage Venture,2024-12-17,11100000000,CNY,1523553311,Series C,11100000000,CNY,1523553311,Series C,16650000000,CNY,2312711573,16650000000,CNY,2312711573,"Bank of Communications, Changan Automobile, SDIC Unity Capital, Inno-Chip, National Green Development Fund",3,15,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.1,12,,,,
Side,https://www.crunchbase.com/organization/side-5e5b,,"Real Estate, Real Estate Brokerage, Real Estate Investment, Sales","San Francisco, California, United States","Side is the only real estate brokerage platform empowering the very best agents, teams & indies to create and grow their own companies.","8,779","San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://www.side.com/,https://www.facebook.com/Side-Real-Estate-645966532261431/,https://www.linkedin.com/company/siderealestate/,,,"Side transforms agents, teams, and independent brokerages into businesses and boutique brands. It partners with the best agents, helping them with proprietary technology and a premier support team so they can be more productive, grow their business, and focus on serving their clients. The company was founded in 2017 and is headquartered in San Francisco, California.",,,,,,,,,,,,"Financial Services, Real Estate, Sales and Marketing",3,"Edward Wu, Guy Gal, Hilary Saunders",251-500,7,,2021-06-28,50000000,USD,50000000,Venture - Series Unknown,50000000,USD,50000000,Venture - Series Unknown,263500000,USD,263500000,263500000,USD,263500000,"8VC, Sapphire Ventures, Coatue, ICONIQ Growth, Inovia Capital",6,19,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.4,14,12,7,,Insurance; financial affairs
Cyber Guru,https://www.crunchbase.com/organization/cyber-guru,,"Cyber Security, Information Services, Information Technology, Network Security","Rome, Lazio, Italy",Cyber Guru develops a cybersecurity awareness training platform to improve the security of individuals and organizations.,"11,501","European Union (EU), Europe, Middle East, and Africa (EMEA)",00144,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://www.cyberguru.it/,,https://www.linkedin.com/company/cyberguru-srl,contatti@cyberguru.it,+39 06 515 9281,Cyber Guru operates as a cybersecurity awareness training platform. Cyber Guru serves to educate employees around the dangers and pitfalls of information security. The solutions use stimulating and educational learning paths to cater to those who do not hold specialist roles in the field of Cyber Security.,,,,,,,,,,,,"Information Technology, Privacy and Security",2,"Gianni Baroni, Gianni Rossi",51-100,3,Early Stage Venture,2024-10-24,23000000,EUR,24894469,Series B,23000000,EUR,24894469,Series B,26600000,EUR,29278767,26600000,EUR,29278767,"Adara Ventures, P101, Riverside Acceleration Capital, Educapital",3,4,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,6.3,2,0,2,,Scientific and electric apparatus and instruments
MDOTM Ltd.,https://www.crunchbase.com/organization/mdotm-2,,"Artificial Intelligence (AI), Asset Management, Finance, Financial Services, FinTech, Machine Learning, Software","London, England, United Kingdom",MDOTM Ltd. is the global provider of AI-driven solutions for institutional investors,"11,726","Europe, Middle East, and Africa (EMEA)",WC2B 6NH,$1M to $10M,Active,2015-11-01,month,,,,,For Profit,https://www.mdotm.eu,,https://www.linkedin.com/company/mdotm-ltd,info@mdotm.eu,,"MDOTM Ltd. is the global provider of AI-driven solutions for institutional investors such as Banks, Insurance Companies, Family Offices, Pension Funds, Wealth and Asset Managers.  MDOTM was the only Fintech selected for the acceleration programme powered by Google for Entrepreneurs in Silicon Valley and it has been the first AI-Driven Advisor to sign the UN-sponsored Principles for Responsible Investment, joining the international network of institutional investors committed to including ESG criteria in their investment process.  MDOTM Ltd is an appointed representative of Thornbridge Investment Management LLP, which is authorised and regulated by the Financial Conduct Authority.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",2,"Federico Mazzorin, Tommaso Migliore",101-250,3,Early Stage Venture,2025-05-12,,,,Non-equity Assistance,6200000,EUR,7251538,Series B,8200000,EUR,9519433,8200000,EUR,9519433,The Founders Arena,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.9,19,0,3,,Scientific and electric apparatus and instruments
Junction,https://www.crunchbase.com/organization/vital-a8cf,,"Developer APIs, Health Care, Software","San Francisco, California, United States",Junction (formerly Vital) is an API for collecting health data that allows developers to build personalized healthcare applications.,"12,780","San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://tryvital.io,,https://www.linkedin.com/company/tryvital,support@tryvital.io,,"Junction (formerly Vital) allows developers to access health data from wearable devices and at-home test kits. The company was founded in 2021 by Maitham Dib and is headquartered in San Francisco, California, United States.",,,,,,,,,,,,"Health Care, Software",1,Maitham Dib,11-50,3,Seed,2022-06-03,2900000,USD,2900000,Seed,2900000,USD,2900000,Seed,3025000,USD,3025000,3025000,USD,3025000,"Y Combinator, The Twenty Minute VC, Point Nine, Amino Collective, Adventure Fund",2,12,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.6,4,,,,
ifeel,https://www.crunchbase.com/organization/ifeel,,Health Care,"Madrid, Madrid, Spain",ifeel is the all-in-one emotional well-being platform for organisations and individuals.,"13,910","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2017-01-01,day,,,,,For Profit,https://ifeelonline.com/en/,,https://www.linkedin.com/company/ifeelonline/,amir@ifeelonline.com,+34622828820,"ifeel is the all-in-one emotional well-being platform for organisations and individuals. ifeel leverages technology to make effective mental healthcare more scalable for organisations operating globally and more accessible and convenient for their employees and clients. Using a blend of data driven technologies and professional one-on-one interactions with licensed psychologists, ifeel is the complete solution to cover the full spectrum of emotional well-being needs.",,,,,,,,,,,,Health Care,3,"Amir Kaplan, Gabriele Murrone, Martin Villanueva Ordas",251-500,4,Early Stage Venture,2024-05-29,18400000,EUR,19874209,Series B,18400000,EUR,19874209,Series B,39931708,USD,39931708,39931708,USD,39931708,"Nauta Capital, FinTLV Ventures, Korelya Capital, UNIQA Ventures, SCOR Ventures",4,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,8,,,,
CheckSig,https://www.crunchbase.com/organization/checksig,,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Services","Milan, Lombardia, Italy",Digital asset custody and prime brokerage,"13,939","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2019-10-25,day,,,,,For Profit,https://checksig.io/,https://www.facebook.com/checksig.safe,https://www.linkedin.com/company/checksig,info@checksig.io,,"CheckSig is a regulated digital assets provider, offering brokerage and custody services to institutional investors and high-net-worth individuals",,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",2,"Ferdinando M. Ametrano, Paolo Mazzocchi",11-50,4,Early Stage Venture,2024-05-08,2700000,EUR,2901650,Series A,2700000,EUR,2901650,Series A,6700000,EUR,7393233,6700000,EUR,7393233,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8.2,6,2,4,Computing; Calculating,Scientific and electric apparatus and instruments
